Date,Users,Sessions,Page_Views,Bounce_Rate,Avg_Session_Duration,Traffic_Source,Device,Country,Conversions,Conversion_Rate
2025-01-01,499,582,582,36.0,1.54,Direct,Mobile,India,41,8.22
2025-01-02,688,828,828,66.16,4.34,Organic,Tablet,India,12,1.74
2025-01-03,173,297,594,49.16,1.22,Direct,Desktop,USA,9,5.2
2025-01-04,250,399,798,24.92,7.59,Direct,Tablet,India,9,3.6
2025-01-05,790,885,885,38.37,2.8,Organic,Desktop,Australia,35,4.43
2025-01-06,632,658,1316,65.6,4.64,Direct,Tablet,Australia,53,8.39
2025-01-07,121,275,1375,46.57,4.86,Organic,Mobile,UK,0,0.0
2025-01-08,487,552,2208,30.48,5.21,Direct,Desktop,UK,15,3.08
2025-01-09,84,177,354,36.66,3.42,Social,Tablet,UK,0,0.0
2025-01-10,223,289,1156,59.08,1.23,Organic,Mobile,UK,16,7.17
2025-01-11,424,582,2910,27.25,6.9,Referral,Tablet,Canada,30,7.08
2025-01-12,430,464,464,61.86,7.27,Direct,Tablet,India,17,3.95
2025-01-13,512,613,613,56.17,3.58,Referral,Tablet,India,34,6.64
2025-01-14,387,507,1014,20.39,2.45,Social,Mobile,UK,0,0.0
2025-01-15,791,860,2580,62.3,2.97,Email,Tablet,Australia,33,4.17
2025-01-16,82,129,129,57.24,6.07,Social,Desktop,Canada,0,0.0
2025-01-17,798,817,2451,34.67,7.86,Direct,Desktop,India,47,5.89
2025-01-18,506,522,522,36.11,5.26,Social,Tablet,Canada,40,7.91
2025-01-19,501,691,3455,48.85,2.85,Referral,Tablet,UK,1,0.2
2025-01-20,767,780,780,32.0,5.4,Social,Tablet,India,54,7.04
2025-01-21,94,106,424,51.17,4.45,Organic,Mobile,USA,1,1.06
2025-01-22,177,221,1105,60.25,6.98,Organic,Mobile,Australia,11,6.21
2025-01-23,559,592,592,40.09,1.91,Direct,Mobile,USA,32,5.72
2025-01-24,118,189,945,23.55,1.71,Email,Desktop,Canada,8,6.78
2025-01-25,422,464,1392,33.98,1.34,Email,Desktop,USA,42,9.95
2025-01-26,298,462,1386,63.8,3.22,Email,Desktop,USA,21,7.05
2025-01-27,435,573,2292,39.24,6.34,Referral,Desktop,Australia,41,9.43
2025-01-28,443,637,2548,43.02,7.41,Referral,Mobile,Canada,25,5.64
2025-01-29,325,332,664,21.19,6.78,Email,Desktop,UK,5,1.54
2025-01-30,663,663,1989,40.59,7.14,Social,Mobile,India,29,4.37
2025-01-31,580,586,2344,44.53,4.88,Direct,Mobile,Australia,22,3.79
2025-02-01,678,799,3196,49.58,7.57,Email,Desktop,Canada,3,0.44
2025-02-02,770,882,882,59.42,2.89,Direct,Mobile,UK,32,4.16
2025-02-03,357,448,1792,44.34,6.53,Referral,Tablet,UK,9,2.52
2025-02-04,242,269,269,39.66,7.26,Direct,Desktop,Canada,23,9.5
2025-02-05,698,857,1714,25.33,6.8,Referral,Desktop,India,26,3.72
2025-02-06,644,772,3088,65.24,7.04,Organic,Mobile,USA,19,2.95
2025-02-07,741,837,3348,49.21,2.11,Referral,Desktop,Canada,70,9.45
2025-02-08,762,835,4175,32.62,4.79,Referral,Tablet,India,11,1.44
2025-02-09,533,690,690,24.68,6.17,Direct,Desktop,India,3,0.56
2025-02-10,618,721,1442,46.4,7.39,Social,Desktop,Australia,1,0.16
2025-02-11,434,558,1674,54.69,3.03,Social,Tablet,India,19,4.38
2025-02-12,598,609,2436,46.61,1.5,Email,Mobile,Canada,19,3.18
2025-02-13,337,438,1314,51.1,2.0,Social,Tablet,Canada,22,6.53
2025-02-14,150,153,765,29.45,1.67,Organic,Tablet,UK,6,4.0
2025-02-15,428,537,2148,43.46,4.07,Referral,Mobile,India,24,5.61
2025-02-16,450,458,458,63.02,3.63,Referral,Tablet,UK,10,2.22
2025-02-17,404,468,2340,38.15,4.45,Organic,Mobile,USA,10,2.48
2025-02-18,166,212,848,68.91,2.61,Organic,Mobile,USA,0,0.0
2025-02-19,643,648,2592,27.8,4.97,Social,Desktop,India,37,5.75
2025-02-20,614,698,1396,50.69,6.79,Referral,Desktop,UK,34,5.54
2025-02-21,604,779,2337,36.16,6.63,Social,Tablet,UK,54,8.94
2025-02-22,180,314,1256,54.34,1.69,Organic,Desktop,India,10,5.56
2025-02-23,514,597,597,64.84,7.94,Direct,Tablet,Canada,28,5.45
2025-02-24,142,247,741,21.68,3.72,Organic,Mobile,UK,10,7.04
2025-02-25,667,763,1526,53.9,7.96,Organic,Desktop,Australia,23,3.45
2025-02-26,303,482,1928,69.84,7.66,Direct,Tablet,Canada,27,8.91
2025-02-27,260,379,1895,42.63,7.94,Social,Desktop,India,1,0.38
2025-02-28,677,742,2968,67.52,4.93,Organic,Mobile,India,61,9.01
